itemname|geo_id|state|county|bid|dollars_per_mile|net_dollars_per_mile|road_miles|total_bid_amount
B020500001002032|6568|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.02|537.32
B020500001002040|6572|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.25|6716.50
B020500001002041|6573|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.16|4298.56
B020500001002042|6574|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.02|537.32
B020500001002044|6575|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.04|1074.64
B020500001002045|305|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.02|537.32
B020500001002050|306|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.03|805.98
B020500001002063|6569|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.42|11283.72
B020500001002086|6570|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.01|268.66
B020500001002088|6571|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.01|268.66
B020500001002089|110|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.02|537.32
B020500001002090|112|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.02|537.32
B020500001002097|6577|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.1|2686.60
B020500001002098|6578|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.09|2417.94
B020500001002099|6579|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.01|268.66
B020500001002123|6580|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.01|268.66
B020500001002143|6581|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.01|268.66
B020500001002146|6582|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.04|1074.64
B020500001003039|6583|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|1.16|31164.56
B020500001003080|6586|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|1.38|37075.08
B020500001003081|6587|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.14|3761.24
B020500001003082|6588|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.17|4567.22
B020500001003083|6589|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.27|7253.82
B020500001003084|6590|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.08|2149.28
B020500001003085|6591|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.09|2417.94
B020500001003086|6592|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.09|2417.94
B020500001003087|6593|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.06|1611.96
B020500001003088|6594|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.07|1880.62
B020500001003089|6595|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.09|2417.94
B020500001003090|6596|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.08|2149.28
B020500001003091|6597|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.28|7522.48
B020500001003092|6598|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.19|5104.54
B020500001003093|6599|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.07|1880.62
B020500001003094|6600|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.04|1074.64
B020500001003095|6601|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.25|6716.50
B020500001003096|113|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.06|1611.96
B020500001003097|127|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.08|2149.28
B020500001003098|129|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.04|1074.64
B020500001003099|131|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.07|1880.62
B020500001003101|138|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.1|2686.60
B020500001003102|168|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.14|3761.24
B020500001003103|169|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.06|1611.96
B020500001003104|171|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.12|3223.92
B020500001003105|179|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.08|2149.28
B020500001003106|180|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.12|3223.92
B020500001003107|181|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.07|1880.62
B020500001003108|183|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.08|2149.28
B020500001003111|184|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.05|1343.30
B020500001003112|185|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.06|1611.96
B020500001003115|186|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.09|2417.94
B020500001003129|3957|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|2.03|54537.98
B020500001003130|3970|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.05|1343.30
B020500001003154|9735|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.68|18268.88
B020500001003156|9743|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.45|12089.70
B020500001003157|6603|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|1.69|45403.54
B020500001003158|6604|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|2.55|68508.30
B020500001003159|6605|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.46|12358.36
B020500001003160|6606|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.08|2149.28
B020500001003161|3977|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.26|6985.16
B020500001003164|6608|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|1.3|34925.80
B020500001003169|6609|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.12|3223.92
B020500001003170|6610|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.37|9940.42
B020500001003195|6611|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.32|8597.12
B020500001003196|6612|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.15|4029.90
B020500001003197|6613|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|1.35|36269.10
B020500001003198|6614|AK|Bethel Census Area|GCI Communication Corp.|26866|26866|0.17|4567.22
